"Tanggal","Terakhir"
"2014-12-09",1320.20
"2014-12-10",1315.50
"2014-12-11",1312.30
"2014-12-12",1303.50
"2014-12-15",1287.70
"2014-12-16",1272.00
"2014-12-17",1272.30
"2014-12-18",1273.90
"2014-12-19",1275.60
"2014-12-22",1259.70
"2014-12-23",1259.70
"2014-12-24",1255.60
"2014-12-25",1177.00
"2014-12-26",1277.70
"2014-12-29",1262.90
"2014-12-30",1281.90
"2014-12-31",1265.40
"2015-01-01",1186.80
"2015-01-02",1267.70
"2015-01-05",1283.50
"2015-01-06",1292.20
"2015-01-07",1283.60
"2015-01-08",1281.60
"2015-01-09",1287.40
"2015-01-12",1303.20
"2015-01-13",1304.50
"2015-01-14",1294.50
"2015-01-15",1322.80
"2015-01-16",1334.90
"2015-01-18",1279.00
"2015-01-19",1275.90
"2015-01-20",1352.40
"2015-01-21",1353.40
"2015-01-22",1365.20
"2015-01-23",1357.60
"2015-01-26",1345.60
"2015-01-27",1354.70
"2015-01-28",1346.90
"2015-01-29",1315.80
"2015-01-30",1336.60
"2015-02-02",1334.40
"2015-02-03",1319.30
"2015-02-04",1325.40
"2015-02-05",1323.90
"2015-02-06",1301.60
"2015-02-09",1308.90
"2015-02-10",1300.20
"2015-02-11",1288.20
"2015-02-12",1287.70
"2015-02-13",1294.20
"2015-02-15",1228.80
"2015-02-16",1231.70
"2015-02-17",1278.90
"2015-02-18",1270.50
"2015-02-19",1275.90
"2015-02-20",1272.20
"2015-02-23",1267.70
"2015-02-24",1262.10
"2015-02-25",1265.00
"2015-02-26",1275.10
"2015-02-27",1278.40
"2015-03-02",1274.80
"2015-03-03",1273.20
"2015-03-04",1269.60
"2015-03-05",1265.10
"2015-03-06",1234.60
"2015-03-09",1237.00
"2015-03-10",1227.10
"2015-03-11",1217.40
"2015-03-12",1218.00
"2015-03-13",1217.90
"2015-03-16",1218.30
"2015-03-17",1213.50
"2015-03-18",1216.50
"2015-03-19",1228.50
"2015-03-20",1243.70
"2015-03-23",1246.50
"2015-03-24",1250.20
"2015-03-25",1256.30
"2015-03-26",1266.00
"2015-03-27",1260.90
"2015-03-30",1245.40
"2015-03-31",1241.20
"2015-04-01",1263.20
"2015-04-02",1257.20
"2015-04-03",1257.20
"2015-04-06",1274.40
"2015-04-07",1267.40
"2015-04-08",1260.10
"2015-04-09",1250.60
"2015-04-10",1262.30
"2015-04-13",1256.80
"2015-04-14",1247.10
"2015-04-15",1255.50
"2015-04-16",1252.00
"2015-04-17",1257.10
"2015-04-20",1248.30
"2015-04-21",1258.10
"2015-04-22",1243.70
"2015-04-23",1251.00
"2015-04-24",1229.40
"2015-04-27",1258.20
"2015-04-28",1270.40
"2015-04-29",1269.00
"2015-04-30",1242.00
"2015-05-01",1235.10
"2015-05-04",1248.00
"2015-05-05",1257.20
"2015-05-06",1255.70
"2015-05-07",1247.50
"2015-05-08",1251.50
"2015-05-11",1246.30
"2015-05-12",1256.00
"2015-05-13",1281.20
"2015-05-14",1288.00
"2015-05-15",1287.90
"2015-05-18",1290.20
"2015-05-19",1270.40
"2015-05-20",1272.50
"2015-05-21",1267.10
"2015-05-22",1268.70
"2015-05-24",1204.40
"2015-05-25",1207.40
"2015-05-26",1251.20
"2015-05-27",1249.60
"2015-05-28",1251.50
"2015-05-29",1251.70
"2015-06-01",1251.40
"2015-06-02",1258.80
"2015-06-03",1250.90
"2015-06-04",1241.10
"2015-06-05",1237.60
"2015-06-08",1243.00
"2015-06-09",1247.80
"2015-06-10",1259.60
"2015-06-11",1253.60
"2015-06-12",1252.00
"2015-06-15",1256.80
"2015-06-16",1250.40
"2015-06-17",1247.90
"2015-06-18",1271.80
"2015-06-19",1270.40
"2015-06-22",1253.10
"2015-06-23",1245.80
"2015-06-24",1242.00
"2015-06-25",1241.30
"2015-06-26",1244.10
"2015-06-29",1249.00
"2015-06-30",1241.80
"2015-07-01",1239.50
"2015-07-02",1232.50
"2015-07-03",1167.80
"2015-07-06",1241.60
"2015-07-07",1220.50
"2015-07-08",1229.60
"2015-07-09",1226.10
"2015-07-10",1227.60
"2015-07-13",1226.00
"2015-07-14",1223.40
"2015-07-15",1217.30
"2015-07-16",1214.20
"2015-07-17",1201.70
"2015-07-20",1176.50
"2015-07-21",1170.50
"2015-07-22",1158.60
"2015-07-23",1161.10
"2015-07-24",1151.00
"2015-07-27",1161.60
"2015-07-28",1161.60
"2015-07-29",1158.50
"2015-07-30",1154.40
"2015-07-31",1154.10
"2015-08-03",1147.80
"2015-08-04",1149.70
"2015-08-05",1148.10
"2015-08-06",1152.60
"2015-08-07",1156.80
"2015-08-10",1166.80
"2015-08-11",1168.70
"2015-08-12",1184.00
"2015-08-13",1176.10
"2015-08-14",1173.30
"2015-08-17",1178.90
"2015-08-18",1177.30
"2015-08-19",1188.10
"2015-08-20",1213.20
"2015-08-21",1217.80
"2015-08-24",1209.90
"2015-08-25",1194.70
"2015-08-26",1180.00
"2015-08-27",1178.20
"2015-08-28",1189.40
"2015-08-31",1187.90
"2015-09-01",1192.30
"2015-09-02",1185.40
"2015-09-03",1174.50
"2015-09-04",1171.50
"2015-09-06",1119.90
"2015-09-07",1119.90
"2015-09-08",1170.90
"2015-09-09",1151.70
"2015-09-10",1158.90
"2015-09-11",1152.90
"2015-09-14",1156.70
"2015-09-15",1151.50
"2015-09-16",1168.60
"2015-09-17",1167.20
"2015-09-18",1186.50
"2015-09-21",1181.80
"2015-09-22",1172.70
"2015-09-23",1179.40
"2015-09-24",1200.70
"2015-09-25",1192.60
"2015-09-28",1178.20
"2015-09-29",1172.90
"2015-09-30",1158.40
"2015-10-01",1156.90
"2015-10-02",1179.00
"2015-10-05",1178.30
"2015-10-06",1186.40
"2015-10-07",1189.10
"2015-10-08",1185.00
"2015-10-09",1197.50
"2015-10-12",1206.20
"2015-10-13",1206.90
"2015-10-14",1219.30
"2015-10-15",1227.10
"2015-10-16",1222.30
"2015-10-19",1212.00
"2015-10-20",1216.60
"2015-10-21",1205.40
"2015-10-22",1204.10
"2015-10-23",1200.10
"2015-10-26",1201.70
"2015-10-27",1199.80
"2015-10-28",1210.90
"2015-10-29",1183.40
"2015-10-30",1176.80
"2015-11-02",1172.00
"2015-11-03",1150.20
"2015-11-04",1142.80
"2015-11-05",1141.70
"2015-11-06",1129.50
"2015-11-09",1130.80
"2015-11-10",1131.00
"2015-11-11",1127.00
"2015-11-12",1122.90
"2015-11-13",1122.90
"2015-11-16",1124.10
"2015-11-17",1108.50
"2015-11-18",1108.50
"2015-11-19",1117.20
"2015-11-20",1115.40
"2015-11-23",1106.30
"2015-11-24",1113.20
"2015-11-25",1110.00
"2015-11-26",1070.80
"2015-11-27",1096.50
"2015-11-30",1105.90
"2015-12-01",1104.00
"2015-12-02",1094.40
"2015-12-03",1102.60
"2015-12-04",1125.20
"2015-12-07",1116.30
"2015-12-08",1116.40
"2015-12-09",1117.30
"2015-12-10",1112.70
"2015-12-11",1116.20
"2015-12-14",1103.80
"2015-12-15",1102.20
"2015-12-16",1117.70
"2015-12-17",1090.50
"2015-12-18",1105.70
"2015-12-21",1122.90
"2015-12-22",1116.40
"2015-12-23",1110.60
"2015-12-24",1118.30
"2015-12-28",1110.50
"2015-12-29",1111.00
"2015-12-30",1103.20
"2015-12-31",1103.40
"2016-01-04",1118.10
"2016-01-05",1121.00
"2016-01-06",1134.50
"2016-01-07",1145.30
"2016-01-08",1134.90
"2016-01-11",1131.70
"2016-01-12",1120.30
"2016-01-13",1120.60
"2016-01-14",1106.40
"2016-01-15",1121.60
"2016-01-17",1090.30
"2016-01-18",1088.50
"2016-01-19",1119.90
"2016-01-20",1135.80
"2016-01-21",1127.70
"2016-01-22",1126.70
"2016-01-25",1136.50
"2016-01-26",1151.40
"2016-01-27",1148.00
"2016-01-28",1147.80
"2016-01-29",1146.20
"2016-02-01",1157.80
"2016-02-02",1156.40
"2016-02-03",1169.60
"2016-02-04",1184.00
"2016-02-05",1184.30
"2016-02-08",1224.50
"2016-02-09",1223.40
"2016-02-10",1219.30
"2016-02-11",1268.80
"2016-02-12",1257.90
"2016-02-14",1233.60
"2016-02-15",1208.10
"2016-02-16",1227.80
"2016-02-17",1233.90
"2016-02-18",1249.20
"2016-02-19",1254.10
"2016-02-22",1233.40
"2016-02-23",1248.10
"2016-02-24",1263.80
"2016-02-25",1263.70
"2016-02-26",1245.50
"2016-02-29",1260.00
"2016-03-01",1257.90
"2016-03-02",1269.70
"2016-03-03",1287.40
"2016-03-04",1302.30
"2016-03-07",1297.00
"2016-03-08",1295.70
"2016-03-09",1290.10
"2016-03-10",1306.80
"2016-03-11",1295.30
"2016-03-14",1281.10
"2016-03-15",1266.90
"2016-03-16",1267.60
"2016-03-17",1300.80
"2016-03-18",1288.70
"2016-03-21",1279.40
"2016-03-22",1285.50
"2016-03-23",1260.70
"2016-03-24",1259.10
"2016-03-25",1216.70
"2016-03-28",1257.40
"2016-03-29",1273.00
"2016-03-30",1263.60
"2016-03-31",1267.60
"2016-04-01",1255.60
"2016-04-04",1251.40
"2016-04-05",1261.20
"2016-04-06",1255.50
"2016-04-07",1269.00
"2016-04-08",1274.00
"2016-04-11",1289.10
"2016-04-12",1293.10
"2016-04-13",1280.60
"2016-04-14",1258.80
"2016-04-15",1266.40
"2016-04-18",1267.00
"2016-04-19",1287.50
"2016-04-20",1289.00
"2016-04-21",1286.20
"2016-04-22",1265.50
"2016-04-25",1275.80
"2016-04-26",1279.10
"2016-04-27",1286.50
"2016-04-28",1303.10
"2016-04-29",1327.70
"2016-05-02",1333.60
"2016-05-03",1329.10
"2016-05-04",1310.60
"2016-05-05",1307.10
"2016-05-06",1329.40
"2016-05-09",1302.20
"2016-05-10",1300.60
"2016-05-11",1311.90
"2016-05-12",1307.00
"2016-05-13",1308.80
"2016-05-16",1311.10
"2016-05-17",1314.20
"2016-05-18",1313.60
"2016-05-19",1295.20
"2016-05-20",1295.20
"2016-05-23",1294.20
"2016-05-24",1272.00
"2016-05-25",1266.70
"2016-05-26",1262.90
"2016-05-27",1256.90
"2016-05-30",1212.15
"2016-05-31",1258.60
"2016-06-01",1256.50
"2016-06-02",1254.20
"2016-06-03",1283.90
"2016-06-06",1288.70
"2016-06-07",1288.10
"2016-06-08",1303.30
"2016-06-09",1313.70
"2016-06-10",1317.00
"2016-06-13",1328.10
"2016-06-14",1325.60
"2016-06-15",1326.00
"2016-06-16",1336.60
"2016-06-17",1333.90
"2016-06-20",1333.80
"2016-06-21",1314.20
"2016-06-22",1311.70
"2016-06-23",1306.60
"2016-06-24",1365.70
"2016-06-27",1367.70
"2016-06-28",1361.10
"2016-06-29",1370.30
"2016-06-30",1363.90
"2016-07-01",1383.20
"2016-07-03",1345.50
"2016-07-04",1352.00
"2016-07-05",1403.30
"2016-07-06",1411.70
"2016-07-07",1405.50
"2016-07-08",1402.50
"2016-07-11",1401.80
"2016-07-12",1381.20
"2016-07-13",1389.50
"2016-07-14",1378.20
"2016-07-15",1374.00
"2016-07-18",1375.90
"2016-07-19",1379.30
"2016-07-20",1366.70
"2016-07-21",1379.20
"2016-07-22",1372.50
"2016-07-25",1368.30
"2016-07-26",1369.60
"2016-07-27",1378.10
"2016-07-28",1384.90
"2016-07-29",1401.80
"2016-08-01",1402.30
"2016-08-02",1415.50
"2016-08-03",1410.00
"2016-08-04",1414.00
"2016-08-05",1394.00
"2016-08-08",1391.40
"2016-08-09",1396.70
"2016-08-10",1401.70
"2016-08-11",1400.10
"2016-08-12",1392.90
"2016-08-15",1396.70
"2016-08-16",1405.10
"2016-08-17",1396.70
"2016-08-18",1405.20
"2016-08-19",1394.10
"2016-08-22",1391.30
"2016-08-23",1393.90
"2016-08-24",1376.50
"2016-08-25",1370.10
"2016-08-26",1369.30
"2016-08-29",1370.50
"2016-08-30",1360.60
"2016-08-31",1354.00
"2016-09-01",1359.00
"2016-09-02",1371.70
"2016-09-04",1326.25
"2016-09-05",1331.10
"2016-09-06",1397.50
"2016-09-07",1393.50
"2016-09-08",1386.60
"2016-09-09",1379.50
"2016-09-12",1370.80
"2016-09-13",1367.20
"2016-09-14",1369.70
"2016-09-15",1361.30
"2016-09-16",1353.50
"2016-09-19",1360.80
"2016-09-20",1361.30
"2016-09-21",1374.90
"2016-09-22",1386.70
"2016-09-23",1383.70
"2016-09-26",1386.60
"2016-09-27",1372.70
"2016-09-28",1365.60
"2016-09-29",1368.00
"2016-09-30",1359.30
"2016-10-03",1354.80
"2016-10-04",1311.00
"2016-10-05",1310.20
"2016-10-06",1294.40
"2016-10-07",1293.40
"2016-10-10",1302.80
"2016-10-11",1298.40
"2016-10-12",1296.60
"2016-10-13",1301.20
"2016-10-14",1299.30
"2016-10-17",1300.70
"2016-10-18",1307.50
"2016-10-19",1314.30
"2016-10-20",1312.60
"2016-10-21",1312.10
"2016-10-24",1306.30
"2016-10-25",1317.70
"2016-10-26",1310.70
"2016-10-27",1315.60
"2016-10-28",1322.70
"2016-10-31",1319.30
"2016-11-01",1334.40
"2016-11-02",1354.40
"2016-11-03",1350.20
"2016-11-04",1352.10
"2016-11-07",1326.80
"2016-11-08",1322.60
"2016-11-09",1322.10
"2016-11-10",1313.00
"2016-11-11",1269.10
"2016-11-14",1271.70
"2016-11-15",1275.70
"2016-11-16",1275.10
"2016-11-17",1268.60
"2016-11-18",1261.20
"2016-11-21",1261.60
"2016-11-22",1262.80
"2016-11-23",1241.70
"2016-11-24",1185.55
"2016-11-25",1230.30
"2016-11-28",1243.40
"2016-11-29",1240.30
"2016-11-30",1223.20
"2016-12-01",1218.50
"2016-12-02",1227.20
"2016-12-05",1226.50
"2016-12-06",1219.80
"2016-12-07",1231.40
"2016-12-08",1227.20
"2016-12-09",1216.80
"2016-12-12",1221.10
"2016-12-13",1214.40
"2016-12-14",1219.10
"2016-12-15",1190.80
"2016-12-16",1198.60
"2016-12-19",1203.60
"2016-12-20",1194.70
"2016-12-21",1194.20
"2016-12-22",1191.50
"2016-12-23",1194.50
"2016-12-25",1135.00
"2016-12-26",1134.55
"2016-12-27",1199.60
"2016-12-28",1201.70
"2016-12-29",1218.90
"2016-12-30",1212.20
"2017-01-02",1151.05
"2017-01-03",1222.40
"2017-01-04",1224.80
"2017-01-05",1239.80
"2017-01-06",1233.40
"2017-01-09",1245.30
"2017-01-10",1246.20
"2017-01-11",1257.70
"2017-01-12",1261.00
"2017-01-13",1259.00
"2017-01-15",1203.35
"2017-01-16",1202.85
"2017-01-17",1275.10
"2017-01-18",1273.40
"2017-01-19",1263.20
"2017-01-20",1266.90
"2017-01-23",1276.60
"2017-01-24",1271.80
"2017-01-25",1258.80
"2017-01-26",1250.60
"2017-01-27",1249.40
"2017-01-30",1254.10
"2017-01-31",1269.50
"2017-02-01",1267.20
"2017-02-02",1278.30
"2017-02-03",1279.90
"2017-02-06",1291.00
"2017-02-07",1294.10
"2017-02-08",1296.00
"2017-02-09",1293.10
"2017-02-10",1292.20
"2017-02-13",1282.60
"2017-02-14",1282.60
"2017-02-15",1291.90
"2017-02-16",1300.40
"2017-02-17",1297.10
"2017-02-19",1237.30
"2017-02-20",1238.20
"2017-02-21",1296.90
"2017-02-22",1291.00
"2017-02-23",1309.40
"2017-02-24",1316.10
"2017-02-27",1316.80
"2017-02-28",1312.00
"2017-03-01",1308.80
"2017-03-02",1291.60
"2017-03-03",1286.50
"2017-03-06",1285.00
"2017-03-07",1275.40
"2017-03-08",1269.60
"2017-03-09",1263.40
"2017-03-10",1261.70
"2017-03-13",1264.30
"2017-03-14",1264.00
"2017-03-15",1262.00
"2017-03-16",1288.40
"2017-03-17",1291.30
"2017-03-20",1294.90
"2017-03-21",1306.70
"2017-03-22",1309.20
"2017-03-23",1306.20
"2017-03-24",1308.10
"2017-03-27",1315.10
"2017-03-28",1315.20
"2017-03-29",1313.20
"2017-03-30",1304.40
"2017-03-31",1307.50
"2017-04-03",1310.40
"2017-04-04",1314.50
"2017-04-05",1304.60
"2017-04-06",1309.50
"2017-04-07",1313.90
"2017-04-10",1310.40
"2017-04-11",1330.50
"2017-04-12",1334.40
"2017-04-13",1343.80
"2017-04-14",1289.65
"2017-04-17",1346.90
"2017-04-18",1348.00
"2017-04-19",1337.60
"2017-04-20",1338.80
"2017-04-21",1344.10
"2017-04-24",1332.90
"2017-04-25",1323.10
"2017-04-26",1320.10
"2017-04-27",1321.80
"2017-04-28",1324.20
"2017-05-01",1311.70
"2017-05-02",1313.20
"2017-05-03",1304.70
"2017-05-04",1284.50
"2017-05-05",1282.90
"2017-05-08",1283.20
"2017-05-09",1272.20
"2017-05-10",1274.70
"2017-05-11",1280.00
"2017-05-12",1282.80
"2017-05-15",1285.10
"2017-05-16",1291.50
"2017-05-17",1313.30
"2017-05-18",1306.30
"2017-05-19",1307.00
"2017-05-22",1315.10
"2017-05-23",1309.20
"2017-05-24",1306.80
"2017-05-25",1310.40
"2017-05-26",1321.90
"2017-05-28",1268.22
"2017-05-29",1266.69
"2017-05-30",1316.20
"2017-05-31",1325.60
"2017-06-01",1320.30
"2017-06-02",1330.20
"2017-06-05",1332.70
"2017-06-06",1347.10
"2017-06-07",1342.70
"2017-06-08",1329.00
"2017-06-09",1321.00
"2017-06-12",1318.60
"2017-06-13",1318.30
"2017-06-14",1325.30
"2017-06-15",1303.90
"2017-06-16",1305.80
"2017-06-19",1296.10
"2017-06-20",1292.50
"2017-06-21",1294.60
"2017-06-22",1298.10
"2017-06-23",1305.40
"2017-06-26",1295.40
"2017-06-27",1296.10
"2017-06-28",1298.50
"2017-06-29",1295.40
"2017-06-30",1291.70
"2017-07-03",1268.60
"2017-07-04",1227.55
"2017-07-05",1271.60
"2017-07-06",1274.40
"2017-07-07",1260.10
"2017-07-10",1263.70
"2017-07-11",1265.40
"2017-07-12",1268.90
"2017-07-13",1266.20
"2017-07-14",1276.50
"2017-07-17",1283.10
"2017-07-18",1291.20
"2017-07-19",1291.40
"2017-07-20",1294.80
"2017-07-21",1303.60
"2017-07-24",1303.10
"2017-07-25",1300.90
"2017-07-26",1298.90
"2017-07-27",1310.20
"2017-07-28",1319.10
"2017-07-31",1317.20
"2017-08-01",1323.00
"2017-08-02",1322.20
"2017-08-03",1318.30
"2017-08-04",1308.40
"2017-08-07",1308.70
"2017-08-08",1307.10
"2017-08-09",1323.70
"2017-08-10",1334.50
"2017-08-11",1338.10
"2017-08-14",1334.80
"2017-08-15",1324.20
"2017-08-16",1327.50
"2017-08-17",1336.80
"2017-08-18",1335.70
"2017-08-21",1341.00
"2017-08-22",1335.50
"2017-08-23",1338.80
"2017-08-24",1336.00
"2017-08-25",1341.90
"2017-08-28",1359.70
"2017-08-29",1362.80
"2017-08-30",1358.00
"2017-08-31",1365.60
"2017-09-01",1374.20
"2017-09-03",1341.22
"2017-09-04",1338.08
"2017-09-05",1388.30
"2017-09-06",1383.00
"2017-09-07",1395.10
"2017-09-08",1396.40
"2017-09-11",1381.20
"2017-09-12",1378.90
"2017-09-13",1373.80
"2017-09-14",1376.30
"2017-09-15",1372.20
"2017-09-18",1357.40
"2017-09-19",1358.30
"2017-09-20",1364.00
"2017-09-21",1342.40
"2017-09-22",1345.10
"2017-09-25",1359.20
"2017-09-26",1349.70
"2017-09-27",1336.30
"2017-09-28",1336.90
"2017-09-29",1333.20
"2017-10-02",1324.70
"2017-10-03",1323.40
"2017-10-04",1325.60
